"the_geom","SYSTEMSTOP","STREET","CROSS_ST","DIR","POS","ROUTESSTPG","OWLROUTES","CITY","PUBLIC_NAM"
"POINT (-87.68823800000001 41.764561000000015)","10,145","71ST STREET","ROCKWELL","EB","NS","67,94",,"CHICAGO","71st Street & Rockwell"
"POINT (-87.660919391 42.00334157899999)","1,025","SHERIDAN","NORTH SHORE","SB","FS","147,155","0","CHICAGO","Sheridan & North Shore"
"POINT (-87.60496371400001 41.736774672000024)","2,590","COTTAGE GROVE","87TH STREET","SB","NS","4",,"CHICAGO","Cottage Grove & 87th Street"
"POINT (-87.65676753899999 41.86678899899999)","15,403","RACINE","ROOSEVELT","SB","FS","60","N60","CHICAGO","Racine & Roosevelt"
"POINT (-87.66297641699998 41.728540205)","6,126","ASHLAND","91ST STREET","SB","NS","9,X9","N9","CHICAGO","Ashland & 91st Street"
"POINT (-87.71279827400002 41.946347160000016)","14,826","KIMBALL","ADDISON","SB","FS","82",,"CHICAGO","Kimball & Addison"
"POINT (-87.62084300100003 41.88757700100001)","5,515","COLUMBUS (mid)","E. WACKER","SB","FS","124",,"CHICAGO","Columbus (mid) & E. Wacker"
"POINT (-87.64647360200001 41.855297758000006)","5,921","HALSTED","CULLERTON","NB","NT","8,N62","N62","CHICAGO","Halsted & Cullerton"
"POINT (-87.70708721099999 41.83727123900002)","7,425","31ST STREET","SPAULDING","WB","NS","35",,"CHICAGO","31st Street & Spaulding"
"POINT (-87.630253101 41.77669906)","6,537","WELLS","65TH STREET/ROSS","SB","NS","24",,"CHICAGO","Wells & 65th Street"
"POINT (-87.70064598099998 41.866539752999984)","354","ROOSEVELT","SACRAMENTO","WB","NS","12",,"CHICAGO","Roosevelt & Sacramento"
"POINT (-87.65834886099998 41.99827385499998)","1,201","SHERIDAN 6400N","WINTHROP","WB","NS","136,147,151",,"CHICAGO","Sheridan & Winthrop"
"POINT (-87.73431318299998 41.851579877000006)","6,888","CERMAK","KOSTNER","WB","NS","21",,"CHICAGO","Cermak & Kostner"
"POINT (-87.62185946199997 41.82384070500001)","7,753","PERSHING","INDIANA","WB","FS","39",,"CHICAGO","Pershing & Indiana"
"POINT (-87.64375064699999 41.87792686400002)","65","JACKSON","DESPLAINES","EB","FS","126",,"CHICAGO","Jackson & Desplaines"
"POINT (-87.78646216300001 41.95281600200002)","11,762","NARRAGANSETT","IRVING PARK","NB","NS","86",,"CHICAGO","Narragansett & Irving Park"
"POINT (-87.71199093899997 41.91718231300001)","14,829","KIMBALL","ARMITAGE","SB","FS","82",,"CHICAGO","Kimball & Armitage"
"POINT (-87.709217685 42.00457457300001)","12,033","KEDZIE","PRATT","NB","MB","11",,"CHICAGO","Kedzie & Pratt"
"POINT (-87.69027699899999 42.015981001)","1,693","WESTERN","JARVIS(north leg)","SB","NS","49B",,"CHICAGO","Western & Jarvis"
"POINT (-87.63084338700003 41.876644509000016)","1,871","CLARK","VAN BUREN","SB","FS","22,24,130","N22","CHICAGO","Clark & Van Buren"
"POINT (-87.72493400600001 41.860904558000016)","15,556","PULASKI","15TH STREET","NB","FS","53",,"CHICAGO","Pulaski & 15th Street"
"POINT (-87.673057443 42.005483175999984)","14,436","CLARK","PRATT","NB","FS","22","N22","CHICAGO","Clark & Pratt"
"POINT (-87.633808999 41.87947200000002)","4,635","WELLS","ADAMS","SB","NS","37",,"CHICAGO","Wells & Adams"
"POINT (-87.58488474799998 41.72954961400001)","7,104","STONY ISLAND","91ST STREET","NB","NS","28",,"CHICAGO","Stony Island & 91st Street"
"POINT (-87.70897654599997 42.01903434299999)","15,533","HOWARD","KEDZIE","EB","NS","11",,"SKOKIE","Howard & Kedzie"
"POINT (-87.67127208 41.850353057999996)","16,019","BLUE ISLAND","WOOD","SWB","FS","60","N60","CHICAGO","Blue Island & Wood"
"POINT (-87.617036192 41.82260007999997)","2,207","KING DRIVE","OAKWOOD BOULEVARD","SB","NT","3",,"CHICAGO","King Drive & Oakwood Boulevard"
"POINT (-87.676642389 41.875137471000016)","44","DAMEN","CONGRESS","SB","NS","50,126",,"CHICAGO","Damen & Congress"
"POINT (-87.576221546 41.758627073000014)","5,217","JEFFERY","75TH STREET","SB","FS","J14,15",,"CHICAGO","Jeffery & 75th Street"
"POINT (-87.53997252200003 41.653704858000026)","7,300","AVENUE O","133RD STREET","SB","NS","30",,"CHICAGO","Avenue O & 133rd Street"
"POINT (-87.68957679200003 41.82319200500001)","4,491","ARCHER","PERSHING/ROCKWELL","SWB","NS","39,62","N62","CHICAGO","Archer & Pershing/Rockwell"
"POINT (-87.66310222499999 41.74293231500002)","6,159","ASHLAND","83RD STREET","NB","NS","9,X9","N9","CHICAGO","Ashland & 83rd Street"
"POINT (-87.74725932899997 41.95699417100002)","10,337","CICERO","BERTEAU (north leg)","NB","NT","54,54A",,"CHICAGO","Cicero & Berteau"
"POINT (-87.625316999 41.784040000000005)","2,302","STATE","61ST STREET (north leg)","NB","FS","29",,"CHICAGO","State & 61st Street"
"POINT (-87.66851485000001 41.976275380999994)","1,806","CLARK","FOSTER","SB","NS","22","N22","CHICAGO","Clark & Foster"
"POINT (-87.64434547899998 41.87444283799999)","13,155","DESPLAINES","HARRISON","SB","TERM","36,125",,"CHICAGO","Desplaines & Harrison Terminal"
"POINT (-87.64930500000003 41.94352900000001)","5,968","HALSTED","ROSCOE","NB","NS","8",,"CHICAGO","Halsted & Roscoe"
"POINT (-87.62387241800002 41.728900795000015)","2,271","STATE","91ST STREET","NB","NS","29",,"CHICAGO","State & 91st Street"
"POINT (-87.66018374700002 41.991049549000024)","5,430","BROADWAY","ELMDALE","NB","FT","36",,"CHICAGO","Broadway & Elmdale"
"POINT (-87.722188759 41.93178365199998)","11,000","DIVERSEY","HAMLIN","EB","NS","76",,"CHICAGO","Diversey & Hamlin"
"POINT (-87.62498427499997 41.823663108999995)","7,729","PERSHING","WABASH","EB","NS","39",,"CHICAGO","Pershing & Wabash"
"POINT (-87.66480654499998 41.79748379)","15,145","ASHLAND","53RD STREET","SB","FS","9","N9","CHICAGO","Ashland & 53rd Street"
"POINT (-87.60822999999999 41.70032400000002)","2,833","COTTAGE GROVE","107TH STREET","SB","NS","4,115",,"CHICAGO","Cottage Grove & 107th Street"
"POINT (-87.64167815000002 41.666951143000006)","5,988","HALSTED","125TH STREET","SB","MT","8A,108",,"CALUMET PARK","Halsted & 125th Street"
"POINT (-87.77332274100002 41.971928314000024)","9,802","HIGGINS","MENARD","NWB","NS","88",,"CHICAGO","Higgins & Menard"
"POINT (-87.807425293 41.957223618)","11,772","HARLEM","4242 NORTH","SB","MB","90",,"NORRIDGE","4242 N Harlem"
"POINT (-87.72297300100001 41.78419100000002)","12,855","PULASKI","60TH STREET","SB","NS","53A",,"CHICAGO","Pulaski & 60th Street"
"POINT (-87.676018 41.85589599999997)","8,885","DAMEN","19TH STREET","SB","NS","50",,"CHICAGO","Damen & 19th Street"
"POINT (-87.71734807799999 41.84611459500002)","11,199","LAWNDALE","25TH STREET","SB","FS","82",,"CHICAGO","Lawndale & 25th Street"
"POINT (-87.626755 41.83650500099998)","2,396","STATE","3200 SOUTH","SB","MB","29,31",,"CHICAGO","State & 32nd Street"
"POINT (-87.64523614299998 41.793698135)","5,837","HALSTED","GARFIELD (south leg)","SB","FS","8",,"CHICAGO","Halsted & Garfield"
"POINT (-87.60667500099999 41.811477000000025)","2,548","COTTAGE GROVE","46TH STREET","SB","NS","4","N4","CHICAGO","Cottage Grove & 46th Street"
"POINT (-87.58332808699998 41.75885849399998)","10,865","75TH STREET","EAST END","WB","NS","75",,"CHICAGO","75th Street & East End"
"POINT (-87.58503058999997 41.73498449700003)","7,107","STONY ISLAND","88TH STREET","NB","NS","28",,"CHICAGO","Stony Island & 88th Street"
"POINT (-87.58600724799999 41.75339123100002)","7,193","STONY ISLAND","7800 SOUTH","SB","MB","28",,"CHICAGO","Stony Island & 78th Street"
"POINT (-87.74789095699998 42.016198582000015)","10,465","SKOKIE BLVD","FARGO","SB","NS","54A",,"SKOKIE","Skokie Blvd & Fargo"
