"the_geom","SYSTEMSTOP","STREET","CROSS_ST","DIR","POS","ROUTESSTPG","OWLROUTES","CITY","PUBLIC_NAM"
"POINT (-87.61000785800002 41.80214357199998)","1,634","51ST STREET","CHAMPLAIN","EB","MT","15",,"CHICAGO","51st Street & Champlain"
"POINT (-87.69986899999998 42.006726000000015)","11,872","CALIFORNIA","MORSE","SB","NS","93",,"CHICAGO","California & Morse"
"POINT (-87.65424516000002 41.766941179000014)","5,184","RACINE","70TH STREET","SB","NS","44",,"CHICAGO","Racine & 70th Street"
"POINT (-87.653514057 41.739630433)","5,199","RACINE","85TH STREET","SB","NS","44",,"CHICAGO","Racine & 85th Street"
"POINT (-87.77566077 41.97258147500003)","9,803","HIGGINS","MARMORA","NWB","NS","88",,"CHICAGO","Higgins & Marmora"
"POINT (-87.69648500099999 41.885332000000005)","4,226","CALIFORNIA","WALNUT","SB","FS","94",,"CHICAGO","California & Walnut"
"POINT (-87.61037399899999 41.69107300000002)","2,838","COTTAGE GROVE","112TH STREET","SB","MT","4,111A,115",,"CHICAGO","Cottage Grove & 112th Street"
"POINT (-87.65233429599999 41.717070734)","6,572","VINCENNES","97TH PLACE","SB","NS","112",,"CHICAGO","Vincennes & 97th Place"
"POINT (-87.678879 41.956057999999985)","8,825","DAMEN","BELLE PLAINE","SB","NT","50",,"CHICAGO","Damen & Belle Plaine"
"POINT (-87.655775 41.89639599999998)","5,496","MILWAUKEE","CHICAGO","SEB","NS","56",,"CHICAGO","Milwaukee & Chicago"
"POINT (-87.788130336 41.96846763799999)","15,764","NAGLE","GUNNISON","SB","NS","86",,"HARWOOD HEIGHTS","Nagle & Gunnison"
"POINT (-87.730591183 41.80067267300001)","4,510","ARCHER","KILDARE","SWB","NS","62","N62","CHICAGO","Archer & Kildare"
"POINT (-87.65436771600002 41.711508623999975)","6,575","VINCENNES","100TH PLACE","SB","NS","112",,"CHICAGO","Vincennes & 100th Place"
"POINT (-87.77321082899999 41.977966134999974)","9,885","NORTHWEST HWY","MENARD","NWB","NS","68",,"CHICAGO","Northwest Hwy & Menard"
"POINT (-87.66688599999998 41.90353399999998)","5,489","MILWAUKEE","DIVISION","SEB","NS","56",,"CHICAGO","Milwaukee & Division"
"POINT (-87.62545999999998 41.735963001000016)","2,454","LAFAYETTE","87TH STREET","SB","FS","29",,"CHICAGO","Lafayette & 87th Street"
"POINT (-87.632857 41.913409)","1,451","CLARK","LASALLE","NWB","FS","22,36,73","N22","CHICAGO","Clark & LaSalle"
"POINT (-87.626064999 41.805723)","2,414","STATE","4900 SOUTH","SB","MB","29",,"CHICAGO","4900 S State"
"POINT (-87.71343489600002 41.968099196000026)","11,127","KIMBALL","LAWRENCE","SB","FS","82",,"CHICAGO","Kimball & Lawrence (Brown Line)"
"POINT (-87.72482802100001 41.850734819000024)","9,054","PULASKI","OGDEN","SB","FS","53",,"CHICAGO","Pulaski & Ogden"
"POINT (-87.66618898899998 41.855148284999984)","6,054","ASHLAND","CULLERTON","SB","NS","9","N9","CHICAGO","Ashland & Cullerton"
"POINT (-87.77417999900001 41.945738000000006)","12,492","ADDISON","MARMORA","EB","NS","152",,"CHICAGO","Addison & Marmora"
"POINT (-87.63388322100002 41.823543846999996)","7,724","PERSHING","PRINCETON (west leg)","EB","NT","39",,"CHICAGO","Pershing & Princeton"
"POINT (-87.61893899900002 41.78010699999999)","3,436","63RD STREET","PRAIRIE","EB","NT","63","N63","CHICAGO","63rd Street & Prairie"
"POINT (-87.56661991800001 41.76972457900001)","7,049","S. SHORE DRIVE","69TH STREET","SB","FS","6,26",,"CHICAGO","S. Shore Drive & 69th Street"
"POINT (-87.64115509800001 41.83259045199998)","5,103","WALLACE","3403 SOUTH","NB","MB","44",,"CHICAGO","3403 S Wallace"
"POINT (-87.699525 41.992256)","11,880","CALIFORNIA","GLENLAKE","SB","NS","93",,"CHICAGO","California & Glenlake"
"POINT (-87.766854696 41.95328759099999)","5,726","IRVING PARK","CENTRAL","WB","NS","80",,"CHICAGO","Irving Park & Central"
"POINT (-87.80719163600003 41.953682035999975)","11,299","HARLEM","FOREST PRESERVE AVENUE","NB","NS","78",,"CHICAGO","Harlem & Forest Preserve Avenue"
"POINT (-87.60455793599999 41.73108928800002)","2,467","COTTAGE GROVE","90TH STREET","NB","NS","4",,"CHICAGO","Cottage Grove & 90th Street"
"POINT (-87.67364400000002 41.76675799999998)","8,789","DAMEN","70TH STREET","SB","NS","48,94",,"CHICAGO","Damen & 70th Street"
"POINT (-87.616094976 41.796472811)","2,221","KING DRIVE","54TH STREET","SB","FS","3",,"CHICAGO","King Drive & 54th Street"
"POINT (-87.76411961600002 41.77425132000002)","3,366","65TH STREET","MAJOR (east leg)","EB","NS","165",,"BEDFORD PARK","65th Street & Major"
"POINT (-87.743228225 41.83659595199998)","17,692","CICERO","31ST STREET","EB","FS","35",,"CICERO","Cicero & 31st Street"
"POINT (-87.74614969499999 41.92444541399999)","14,773","CICERO","FULLERTON","NB","FS","54",,"CHICAGO","Cicero & Fullerton"
"POINT (-87.82926462 41.95229547100001)","5,752","IRVING PARK","PANAMA","WB","NT","80",,"UNINCORPORATED","Irving Park & Panama"
"POINT (-87.68088799999998 41.76832200000001)","10,148","69TH STREET","OAKLEY","EB","NS","67,94",,"CHICAGO","69th Street & Oakley"
"POINT (-87.78487540999998 41.89178993799999)","11,720","RIDGELAND","ERIE","SB","NS","86",,"OAK PARK","Ridgeland & Erie"
"POINT (-87.64298500000001 41.717688001)","3,659","HALSTED","97TH STREET (north leg)","NB","NS","8A,108",,"CHICAGO","Halsted & 97th Street"
"POINT (-87.693004175 41.76628052199999)","4,142","CALIFORNIA","70TH STREET","NB","NS","94",,"CHICAGO","California & 70th Street"
"POINT (-87.64863200000002 41.923535001000005)","5,957","HALSTED","BELDEN","NB","NS","8",,"CHICAGO","Halsted & Belden"
"POINT (-87.698939999 42.04692)","14,730","DODGE","DAVIS","NB","NS","93,206",,"EVANSTON","Dodge & Davis"
"POINT (-87.80692416699998 41.97702816200001)","15,927","HARLEM","BERWYN","NB","NS","90",,"CHICAGO","Harlem & Berwyn"
"POINT (-87.66356999999999 41.76120100000003)","6,169","ASHLAND","73RD STREET","NB","NS","9","N9","CHICAGO","Ashland & 73rd Street"
"POINT (-87.75741294 41.796580221)","4,522","ARCHER","LONG","SWB","NS","62,62H",,"CHICAGO","Archer & Long"
"POINT (-87.64137462500003 41.83456980599999)","5,138","WALLACE","33RD STREET","SB","NS","44",,"CHICAGO","Wallace & 33rd Street"
"POINT (-87.53514464300002 41.71945131899997)","7,363","EWING","97TH STREET","NB","NS","26,30",,"CHICAGO","Ewing & 97th Street"
"POINT (-87.69966699999998 42.010170000000016)","11,916","CALIFORNIA","ESTES","NB","NS","93,96",,"CHICAGO","California & Estes"
"POINT (-87.62400593000001 41.73807321100003)","2,276","STATE","86TH STREET","NB","NS","29",,"CHICAGO","State & 86th Street"
"POINT (-87.63323499699999 41.91605182000001)","1,140","STOCKTON","LINCOLN","NB","MB","151,156",,"CHICAGO","Stockton & Lincoln"
"POINT (-87.65415499900001 41.770465)","5,060","RACINE","68TH STREET","NB","NS","44",,"CHICAGO","Racine & 68th Street"
"POINT (-87.80400999900002 41.90902599999998)","845","NEVA","NORTH AVENUE","SB","NS","72",,"CHICAGO","Neva & North Ave"
"POINT (-87.59687169799997 41.65503345600001)","7,577","ELLIS","132ND PLACE","SB","FS","34",,"CHICAGO","Ellis & 132nd Place"
"POINT (-87.70148899999998 41.986778000000015)","1,362","LINCOLN","FRANCISCO","SEB","NS","11",,"CHICAGO","Lincoln & Francisco"
"POINT (-87.67392424299999 41.939578821)","9,280","BELMONT","RAVENSWOOD","EB","NS","77","N77","CHICAGO","Belmont & Ravenswood"
"POINT (-87.70113285899998 41.702438529999995)","9,972","KEDZIE","105TH STREET","NB","NS","52A",,"CHICAGO","Kedzie & 105th Street"
"POINT (-87.68974248400002 41.99787825499999)","18,308","WESTERN","DEVON","NB","FS","49B",,"CHICAGO","Western & Devon"
"POINT (-87.690022941 41.99753351700002)","18,309","WESTERN","DEVON","SB","FS","49B",,"CHICAGO","Western & Devon"
"POINT (-87.690099675 42.01247589500002)","18,310","WESTERN","TOUHY","NB","FS","49B",,"CHICAGO","Western & Touhy"
"POINT (-87.68928680800002 41.975707279000005)","18,311","WESTERN","FOSTER","SB","FS","49,49B,X49","N49","CHICAGO","Western & Foster"
"POINT (-87.68281948600003 41.753997278999975)","18,312","WESTERN","77TH STREET","NB","FS","49","N49","CHICAGO","Western & 77th Street"
"POINT (-87.68725230400003 41.906511662000014)","18,313","WESTERN","HIRSCH","SB","FS","49","N49","CHICAGO","Western & Hirsch"
"POINT (-87.73961885400001 41.90961511900002)","18,475","NORTH AVENUE","KOLMAR","EB","FT","72",,"CHICAGO","North Ave & Kolmar"
"POINT (-87.731039646 41.90971874600001)","18,476","NORTH AVENUE","KEELER (east leg)","EB","FT","72",,"CHICAGO","North Ave & Keeler"
"POINT (-87.73983134999997 41.909811805000004)","18,477","NORTH AVENUE","KOLMAR","WB","FS","72",,"CHICAGO","North Ave & Kolmar"
"POINT (-87.63402299199998 41.75097825900002)","18,478","VINCENNES","79TH STREET","NB","FS","24",,"CHICAGO","Vincennes & 79th Street"
"POINT (-87.63244886799998 41.75618374700002)","18,479","VINCENNES","76TH STREET","SB","FS","24",,"CHICAGO","Vincennes & 76th Street"
"POINT (-87.63449576 41.75059082299998)","18,480","VINCENNES","79TH STREET","SB","FS","24",,"CHICAGO","Vincennes & 79th Street"
"POINT (-87.66415838500001 41.77198217799997)","18,180","ASHLAND","MARQUETTE RD","SB","FS","9","N9","CHICAGO","Ashland & Marquette Rd"
"POINT (-87.66392886599999 41.76464863799998)","18,181","ASHLAND","71ST STREET","SB","FS","9","N9","CHICAGO","Ashland & 71st Street"
"POINT (-87.64707669699999 41.87550381)","18,184","HALSTED","BLUE LINE (FOREST PARK)","NB","MB","8",,"CHICAGO","UIC-Halsted Blue Line Station"
"POINT (-87.63090644300001 41.896567300000015)","18,222","CHICAGO","CLARK","EB","FS","66","N66","CHICAGO","Chicago & Clark"
"POINT (-87.627916438 41.89661350799997)","18,223","CHICAGO","STATE","EB","FS","66","N66","CHICAGO","Chicago & State (Red Line)"
"POINT (-87.62177875700002 41.89748073800001)","18,224","MIES VAN DER ROHE","PEARSON","NB","NS","10,125,157",,"CHICAGO","Mies Van Der Rohe & Pearson"
"POINT (-87.71508456100003 41.85146034600001)","18,289","CENTRAL PARK","CERMAK","SB","FS","82",,"CHICAGO","Central Park & Cermak"
"POINT (-87.62163419199999 41.816629834000025)","18,290","43RD STREET","INDIANA","WB","FS","43",,"CHICAGO","43rd Street & Indiana"
"POINT (-87.677509214 41.92494985899998)","18,348","FULLERTON","DAMEN","EB","FS","74",,"CHICAGO","Fullerton & Damen"
"POINT (-87.62604596800003 41.82365096900003)","18,291","PERSHING","STATE","EB","FS","39",,"CHICAGO","Pershing & State"
"POINT (-87.61291961299997 41.82395964800003)","18,292","PERSHING","VINCENNES","WB","FS","39",,"CHICAGO","Pershing & Vincennes"
"POINT (-87.64613633900001 41.91817724200001)","4,079","ARMITAGE","ORCHARD","EB","NS","73",,"CHICAGO","Armitage & Orchard"
"POINT (-87.60229999900002 41.657100000000014)","2,989","131ST STREET","CORLISS","EB","FS","34","N34","CHICAGO","131st Street & Corliss"
"POINT (-87.78504378999997 41.91456176700001)","11,741","NARRAGANSETT","CORTLAND","NB","NS","86",,"CHICAGO","Narragansett & Cortland"
"POINT (-87.55103018300002 41.724253492)","7,004","COMMERCIAL","94TH/ANTHONY","NB","NS","71",,"CHICAGO","Commercial & 94th/Anthony"
"POINT (-87.64559867399998 41.814736127)","5,090","HALSTED","43RD PLACE","NB","NS","8,44",,"CHICAGO","Halsted & 43rd Place"
"POINT (-87.71793400000001 41.778677000000016)","3,389","63RD STREET","HAMLIN","EB","NS","63","N63","CHICAGO","63rd Street & Hamlin"
"POINT (-87.775171935 41.909156768)","16,035","NORTH AVENUE","AUSTIN","EB","FS","72",,"CHICAGO","North Ave & Austin"
"POINT (-87.62590551099998 41.707071215999974)","12,165","103RD STREET","PERRY","EB","MT","103",,"CHICAGO","103rd Street & Perry"
"POINT (-87.78555755600001 41.968383355000014)","9,552","GUNNISON","MOBILE","EB","MT","81W",,"CHICAGO","Gunnison & Mobile"
"POINT (-87.69041531300002 41.93208882699997)","11,013","DIVERSEY","CAMPBELL","EB","NS","76",,"CHICAGO","Diversey & Campbell"
"POINT (-87.691657529 41.87742359600003)","36","JACKSON","2609 WEST alley","EB","NS","126",,"CHICAGO","2609 W Jackson"
"POINT (-87.72569382299997 41.96814800300001)","3,741","LAWRENCE","SPRINGFIELD","EB","NS","81","N81","CHICAGO","Lawrence & Springfield"
"POINT (-87.65689232099999 41.793722238999976)","10,531","GARFIELD","THROOP","EB","FS","55","N55","CHICAGO","Garfield & Throop"
"POINT (-87.742009639 41.85118803500001)","17,124","CERMAK","47TH AVENUE","EB","NT","21,54B",,"CICERO","Cermak & 47th Avenue"
"POINT (-87.67651544900002 41.779201075)","3,407","63RD STREET","HOYNE","EB","NS","63","N63","CHICAGO","63rd Street & Hoyne"
"POINT (-87.64216304899998 41.76881760600003)","10,169","69TH STREET","UNION (west leg)","EB","NS","67",,"CHICAGO","69th Street & Union"
"POINT (-87.722918999 41.78237200000001)","12,856","PULASKI","61ST STREET","SB","NS","53A",,"CHICAGO","Pulaski & 61st Street"
"POINT (-87.68368299999997 41.826584001000015)","4,430","ARCHER","37TH STREET","NEB","NS","39,62","N62","CHICAGO","Archer & 37th Street"
"POINT (-87.64452300300002 41.84825039999998)","4,468","ARCHER","LOWE","SWB","MT","44,62",,"CHICAGO","Archer & Lowe"
"POINT (-87.755881999 41.90413800099998)","3,831","LARAMIE","POTOMAC","SB","NS","57",,"CHICAGO","Laramie & Potomac"
"POINT (-87.56497962100002 41.713577273)","5,273","100TH STREET","YATES","WB","FS","J14,15",,"CHICAGO","100th Street & Yates"
"POINT (-87.75948023500001 41.87295261999998)","250","HARRISON","5400 WEST","WB","MB","7",,"CHICAGO","5400 W Harrison"
"POINT (-87.774674619 41.88407585599998)","9,627","AUSTIN","WEST END/RANDOLPH","NB","FS","91",,"CHICAGO","Austin & West End/Randolph"
"POINT (-87.65479099999999 41.79580499999997)","5,076","RACINE","54TH STREET","NB","NS","44",,"CHICAGO","Racine & 54th Street"
"POINT (-87.78670705600001 41.960519524999995)","15,796","NARRAGANSETT","MONTROSE","NB","FS","86",,"CHICAGO","Narragansett & Montrose"
"POINT (-87.69876657700001 42.05199432500001)","12,697","DODGE","EMERSON","NB","NS","93,206",,"EVANSTON","Dodge & Emerson"
"POINT (-87.68504198800002 42.024471430000006)","13,149","RIDGE","HULL TERRACE","NB","NT","201,206",,"EVANSTON","Ridge & Hull Terrace"
"POINT (-87.624027985 41.73441963900001)","2,274","STATE","88TH STREET","NB","NS","29",,"CHICAGO","State & 88th Street"
"POINT (-87.71698770199998 41.931931905)","11,073","DIVERSEY","CENTRAL PARK","WB","NS","76",,"CHICAGO","Diversey & Central Park"
"POINT (-87.77606359100002 41.93852552499999)","9,338","BELMONT","AUSTIN","WB","NS","77","N77","CHICAGO","Belmont & Austin"
"POINT (-87.658021582 41.73596054500001)","9,503","87TH STREET","LOOMIS","WB","NS","87","N87","CHICAGO","87th Street & Loomis"
"POINT (-87.61631313999999 41.794858412999986)","10,581","GARFIELD","KING DRIVE","WB","FS","55","N55","CHICAGO","Garfield & King Drive"
"POINT (-87.63953498699999 41.93756537899998)","1,073","SHERIDAN","BARRY","SB","FS","134,143,151,156",,"CHICAGO","Sheridan & Barry"
"POINT (-87.67654123900002 41.87281563900001)","8,873","DAMEN","OGDEN","SB","NS","50",,"CHICAGO","Damen & Ogden"
"POINT (-87.74876642599997 42.03886401300002)","3,558","NILES CENTER","CRAIN","NB","NS","97",,"SKOKIE","Niles Center & Crain"
"POINT (-87.53517048399999 41.70087570099997)","7,353","EWING","107TH STREET","NB","NS","30",,"CHICAGO","Ewing & 107th Street"
"POINT (-87.74304863600003 41.811201486000016)","10,394","CICERO","45TH STREET","NB","NS","54B",,"CHICAGO","Cicero & 45th Street"
"POINT (-87.67316299999999 41.753750000000025)","8,713","DAMEN","77TH STREET","NB","NS","48",,"CHICAGO","Damen & 77th Street"
"POINT (-87.61690200100003 41.833484999999996)","2,168","KING DRIVE","33RD PLACE","NB","NS","3",,"CHICAGO","King Drive & 33rd Place"
"POINT (-87.62496599899998 41.904191000000026)","1,132","LAKE SHORE","DIVISION","NB","FT","151",,"CHICAGO","Lake Shore & Division"
"POINT (-87.74691810799999 41.778273352999975)","15,262","63RD STREET","LAVERGNE","EB","FS","63W",,"CHICAGO","63rd Street & Lavergne"
"POINT (-87.54552537400002 41.728376948000005)","12,000","92ND STREET","BURLEY","WB","NS","95",,"CHICAGO","92nd Street & Burley"
"POINT (-87.62952557699998 41.758215705)","10,886","75TH STREET","WENTWORTH","WB","NS","75",,"CHICAGO","75th Street & Wentworth"
"POINT (-87.613384 41.783862)","13,007","61ST STREET","EBERHART","EB","NS","59",,"CHICAGO","61st Street & Eberhart"
"POINT (-87.66728517199999 41.79405391400002)","10,604","GARFIELD","PAULINA","WB","FS","55","N55","CHICAGO","Garfield & Paulina"
"POINT (-87.71226851099999 41.92454273499999)","1,322","FULLERTON","KIMBALL","EB","NS","74",,"CHICAGO","Fullerton & Kimball"
"POINT (-87.66655179000003 41.867108848999976)","6,046","ASHLAND","ROOSEVELT","SB","NS","9,X9","N9","CHICAGO","Ashland & Roosevelt"
"POINT (-87.64938802400002 41.947192341000004)","5,970","HALSTED","ADDISON","NB","NS","8",,"CHICAGO","Halsted & Addison"
"POINT (-87.72738397900002 41.93916855200001)","14,637","BELMONT","PULASKI","WB","FS","77","N77","CHICAGO","Belmont & Pulaski"
"POINT (-87.67407124599998 41.96890414400002)","3,788","LAWRENCE","RAVENSWOOD (east leg)","WB","NS","81","N81","CHICAGO","Lawrence & Ravenswood"
"POINT (-87.63812639700001 41.79448340800002)","10,592","GARFIELD","NORMAL","WB","FS","55","N55","CHICAGO","Garfield & Normal"
"POINT (-87.71680676599999 41.91724579200002)","4,044","ARMITAGE","CENTRAL PARK","EB","NS","73",,"CHICAGO","Armitage & Central Park"
"POINT (-87.67074667499998 41.759417891)","10,905","74TH STREET","WOLCOTT","WB","NS","75",,"CHICAGO","74th Street & Wolcott"
"POINT (-87.75925188600002 41.946052786999985)","12,600","ADDISON","LOCKWOOD","WB","NS","152",,"CHICAGO","Addison & Lockwood"
"POINT (-87.719491 41.90349800000001)","809","GRAND","LAWNDALE","WB","NS","65",,"CHICAGO","Grand & Lawndale"
"POINT (-87.66775181600002 41.99818662000001)","1,761","DEVON","GREENVIEW","WB","NS","36,151,155",,"CHICAGO","Devon & Greenview"
"POINT (-87.62424400100002 41.88989400000003)","1,103","MICHIGAN","HUBBARD (WRIGLEY BLDG.)","SB","FS","2,3,10,26,N66,143,146,147,148,151,157","N66","CHICAGO","Michigan & Hubbard (Wrigley Bldg.)"
"POINT (-87.59056700000002 41.80781999999999)","5,034","LAKE PARK","48TH STREET","SB","FS","2,6,28",,"CHICAGO","Lake Park & 48th Street"
"POINT (-87.78327586299997 41.974866346)","15,883","HIGGINS","MELVINA","NWB","FS","88",,"CHICAGO","Higgins & Melvina"
"POINT (-87.65512909 41.97801193700002)","1,041","SHERIDAN","BERWYN (south leg)","SB","FS","92,136,146,147,151",,"CHICAGO","Sheridan & Berwyn"
"POINT (-87.80210691100001 41.979977797000004)","15,036","HIGGINS","NORDICA","SEB","FS","88",,"CHICAGO","Higgins & Nordica"
"POINT (-87.66396848 41.766873643)","6,105","ASHLAND","70TH STREET","SB","NT","9","N9","CHICAGO","Ashland & 70th Street"
"POINT (-87.768485 41.97931299999999)","11,518","CENTRAL","BALMORAL","SB","MT","85,85A",,"CHICAGO","Central & Balmoral"
"POINT (-87.78450399899998 42.00726400100001)","11,657","CALDWELL","McALPIN","NWB","NS","85A",,"CHICAGO","Caldwell & Mcalpin"
"POINT (-87.73643349500003 41.902579891000016)","17,980","DIVISION","KOSTNER","WB","FS","70",,"CHICAGO","Division & Kostner"
"POINT (-87.76121000699999 41.90224043400002)","17,981","DIVISION","LONG","WB","FS","70",,"CHICAGO","Division & Long"
"POINT (-87.64628081000001 41.84187660600003)","18,215","HALSTED","29TH STREET","NB","FS","8",,"CHICAGO","Halsted & 29th Street"
"POINT (-87.765894479 41.902203805)","17,982","DIVISION","CENTRAL","WB","FS","70",,"CHICAGO","Division & Central"
"POINT (-87.63290016600001 41.89672181399999)","17,913","CHICAGO","LASALLE","WB","FS","66","N66","CHICAGO","Chicago & LaSalle"
"POINT (-87.74447891800003 41.85486265700001)","18,363","CICERO","19TH STREET","SB","FS","54",,"CICERO","Cicero & 19th Street"
"POINT (-87.744303909 41.85501486200002)","18,366","CICERO","19TH STREET","NB","FS","54",,"CICERO","Cicero & 19th Street"
"POINT (-87.74407259499998 41.840146355)","18,367","CICERO","29TH STREET","SB","FS","35,54B",,"CICERO","Cicero & 29th Street"
"POINT (-87.743727009 41.82619516599999)","18,368","CICERO","3700 SOUTH","SB","MB","54B",,"STICKNEY","3700 S. Cicero"
"POINT (-87.74337011300003 41.823872903999984)","18,369","CICERO","3700 SOUTH","NB","MB","54B",,"CICERO","3700 S. Cicero"
"POINT (-87.74398124700002 41.846830368999974)","18,370","CICERO","24TH PLACE","NB","FT","54B,N60","N60","CICERO","Cicero & 24th Place"
"POINT (-87.64471100899999 41.772337504999996)","17,953","HALSTED","MARQUETTE RD","SB","FS","8",,"CHICAGO","Halsted & Marquette Rd"
"POINT (-87.71600691700002 41.93444304600001)","17,959","MILWAUKEE","GRESHAM","NWB","NS","56",,"CHICAGO","Milwaukee & Gresham"
"POINT (-87.68828744799998 41.942877838000015)","18,346","WESTERN","ROSCOE","SB","FS","49","N49","CHICAGO","Western & Roscoe"
"POINT (-87.62357752899999 41.83840804900001)","18,244","31ST STREET","MICHIGAN","WB","FS","31",,"CHICAGO","31st Street & Michigan"
"POINT (-87.623119127 41.838286685000014)","18,243","31ST STREET","MICHIGAN","EB","FS","31",,"CHICAGO","31st Street & Michigan"
"POINT (-87.72384770999997 41.938993278)","18,424","MILWAUKEE","BELMONT","SEB","FS","56",,"CHICAGO","Milwaukee & Belmont"
"POINT (-87.73242613100001 41.944399739000005)","18,425","MILWAUKEE","KEELER","NWB","FS","56",,"CHICAGO","Milwaukee & Keeler"
"POINT (-87.739023524 41.786219819999985)","18,435","MIDWAY TERMINAL","ORANGE LINE STATION","SWB","TERM","47",,"CHICAGO","Midway Orange Line Station"
"POINT (-87.61308308000002 41.68559437800002)","14,049","KING DRIVE","115TH STREET","NB","FS","115",,"CHICAGO","King Drive & 115th Street"
"POINT (-87.72337343100003 41.80593021200002)","12,936","PULASKI","48TH STREET","NB","NS","53A",,"CHICAGO","Pulaski & 48th Street"
"POINT (-87.732807971 41.92452753499998)","1,260","FULLERTON","TRIPP","WB","NS","74",,"CHICAGO","Fullerton & Tripp"
"POINT (-87.694285864 41.815474698)","4,168","CALIFORNIA","POPE JOHN PAUL II/43RD ST","NB","NS","94",,"CHICAGO","California & Pope John Paul II/43rd St"
"POINT (-87.82426099999998 41.94505299999997)","12,470","ADDISON","ORANGE","EB","NS","152",,"CHICAGO","Addison & Orange"
"POINT (-87.62056362499999 41.68246046600001)","7,602","MICHIGAN","116TH STREET","NB","NS","34,119","N34","CHICAGO","Michigan & 116th Street"
"POINT (-87.55137600699999 41.732011634)","7,074","COMMERCIAL","90TH STREET","SB","NS","N5,26,71","N5","CHICAGO","Commercial & 90th Street"
"POINT (-87.79009700099999 41.908996)","850","NORTH AVENUE","EAST","EB","NS","72",,"OAK PARK","North Ave & East"
"POINT (-87.63818499899998 41.72161799999998)","3,458","95TH STREET","WALLACE","WB","NS","N9,95,108,112","N9","CHICAGO","95th Street & Wallace"
"POINT (-87.72402344699998 41.828699787000005)","12,945","PULASKI","36TH STREET","NB","NT","53A",,"CHICAGO","Pulaski & 36th Street"
"POINT (-87.55146817600001 41.73564956500002)","7,072","COMMERCIAL","88TH STREET","SB","NS","N5,26,71","N5","CHICAGO","Commercial & 88th Street"
"POINT (-87.744113519 41.84239766100001)","10,339","CICERO","28TH STREET","SB","NS","35,54B",,"CICERO","Cicero & 28th Street"
"POINT (-87.78182199899999 41.952912000000026)","5,616","IRVING PARK","MELVINA","EB","NS","80",,"CHICAGO","Irving Park & Melvina"
"POINT (-87.606797127 41.72212421099999)","2,600","95TH STREET","LANGLEY","WB","NS","4,N5,95,115","N5","CHICAGO","95th Street & Langley"
"POINT (-87.60383142699999 41.785864038)","18,050","60TH STREET","915 EAST","EB","MB","2",,"CHICAGO","915 E. 60th Street"
"POINT (-87.676221333 41.873976260000006)","18,129","HARRISON","DAMEN","EB","FS","7",,"CHICAGO","Harrison & Damen"
"POINT (-87.68667282500002 41.87394369100002)","18,130","HARRISON","WESTERN","WB","FS","7",,"CHICAGO","Harrison & Western"
"POINT (-87.69633972499997 41.87386745600003)","18,131","HARRISON","CALIFORNIA","WB","FS","7",,"CHICAGO","Harrison & California"
"POINT (-87.810481364 41.952622313999996)","18,132","IRVING PARK","FOREST PRESERVE","EB","NS","80",,"CHICAGO","Irving Park & Forest Preserve"
"POINT (-87.67564087300002 41.93954809799999)","18,263","BELMONT","WOLCOTT","EB","FS","77","N77","CHICAGO","Belmont & Wolcott"
"POINT (-87.660369543 41.989746733000004)","18,300","BROADWAY","THORNDALE","SB","FS","36",,"CHICAGO","Broadway & Thorndale"
"POINT (-87.686701524 41.88635655899998)","18,299","WESTERN","FULTON","SB","FS","49","N49","CHICAGO","Western & Fulton"
"POINT (-87.68648976399999 41.87736995199998)","18,298","WESTERN","JACKSON","SB","FS","49,X49","N49","CHICAGO","Western & Jackson"
"POINT (-87.644377367 41.76890716999998)","10,096","69TH STREET","HALSTED","WB","NS","67",,"CHICAGO","69th Street & Halsted"
"POINT (-87.69374132899998 41.786335619)","12,969","59TH STREET","CALIFORNIA","EB","NS","59",,"CHICAGO","59th Street & California"
"POINT (-87.74591000100003 41.89693600099997)","10,235","CICERO","IOWA","SB","NS","54",,"CHICAGO","Cicero & Iowa"
"POINT (-87.78122829300003 41.945754584999975)","12,609","ADDISON","MELVINA","WB","NS","152",,"CHICAGO","Addison & Melvina"
"POINT (-87.669079952 41.98535721799999)","1,948","CLARK","HOLLYWOOD","NB","NS","22","N22","CHICAGO","Clark & Hollywood"
"POINT (-87.70234774300002 41.75156962300002)","9,999","KEDZIE","78TH STREET","NB","NT","52A",,"CHICAGO","Kedzie & 78th Street"
"POINT (-87.76481100000001 41.994278001)","11,641","CENTRAL","LOUISE","NB","NT","85A",,"CHICAGO","Central & Louise"
"POINT (-87.70395309999998 41.809823857000026)","3,119","KEDZIE","46TH STREET","NB","NS","52",,"CHICAGO","Kedzie & 46th Street"
"POINT (-87.72116225600001 41.718707516999984)","12,903","PULASKI","96TH STREET","NB","FS","53A",,"EVERGREEN PARK","Pulaski & 96th Street"
"POINT (-87.666837252 41.87736080799999)","6,041","ASHLAND","JACKSON","SB","FS","9,X9","N9","CHICAGO","Ashland & Jackson"
"POINT (-87.67349071500001 41.849311763)","6,328","BLUE ISLAND","WOLCOTT","NEB","NS","60","N60","CHICAGO","Blue Island & Wolcott"
"POINT (-87.67310600000002 41.751896999999985)","8,712","DAMEN","78TH STREET","NB","NS","48",,"CHICAGO","Damen & 78th Street"
"POINT (-87.61654357600003 41.811381159999996)","2,156","KING DRIVE","46TH STREET","NB","FS","3",,"CHICAGO","King Drive & 46th Street"
